PsNo, DateTime, Cond, Order,FSQ,Condition,Block,Measure,Scenario,Scariness
117,09/12/2016 10:55,AVC,213,3.555555556,A,1,1,2,5
10,28/11/2016 11:31,AVC,231,2.222222222,A,1,1,2,1
82,30/11/2016 12:58,AVC,231,1.055555556,A,1,1,2,0
118,09/12/2016 10:45,AVC,231,2.388888889,A,1,1,2,4
11,28/11/2016 11:29,AVC,312,2.722222222,A,1,1,3,5
47,29/11/2016 14:56,AVC,312,5.055555556,A,1,1,3,10
83,30/11/2016 12:57,AVC,312,4.333333333,A,1,1,3,8
119,09/12/2016 11:56,AVC,312,1.166666667,A,1,1,3,1
12,28/11/2016 15:41,AVC,321,2.444444444,A,1,1,3,4
48,29/11/2016 15:00,AVC,321,1.277777778,A,1,1,3,1
84,30/11/2016 12:51,AVC,321,2.055555556,A,1,1,3,2
120,09/12/2016 09:52,AVC,321,2.555555556,A,1,1,3,8
49,29/11/2016 15:13,CAV,123,2.055555556,A,2,1,2,4
85,30/11/2016 13:12,CAV,123,1.333333333,A,2,1,2,3
121,09/12/2016 10:02,CAV,123,4.666666667,A,2,1,2,7
14,29/11/2016 10:01,CAV,132,2.833333333,A,2,1,3,1
50,29/11/2016 14:59,CAV,132,4.611111111,A,2,1,3,8
86,30/11/2016 13:24,CAV,132,5.222222222,A,2,1,3,7
122,09/12/2016 10:44,CAV,132,2.5,A,2,1,3,10
15,29/11/2016 10:49,CAV,213,2.277777778,A,2,1,1,0
51,29/11/2016 15:05,CAV,213,1.611111111,A,2,1,1,0
87,30/11/2016 13:08,CAV,213,3.666666667,A,2,1,1,2
123,09/12/2016 11:52,CAV,213,2.444444444,A,2,1,1,5
16,29/11/2016 09:54,CAV,231,1.055555556,A,2,1,3,1
52,29/11/2016 14:59,CAV,231,4,A,2,1,3,5
88,30/11/2016 13:16,CAV,231,4.444444444,A,2,1,3,8
124,09/12/2016 11:45,CAV,231,4,A,2,1,3,4
17,29/11/2016 10:11,CAV,312,1.333333333,A,2,1,1,1
53,30/11/2016 10:19,CAV,312,4.277777778,A,2,1,1,6
89,30/11/2016 13:20,CAV,312,3.055555556,A,2,1,1,5
125,09/12/2016 14:24,CAV,312,2,A,2,1,1,6
18,29/11/2016 10:57,CAV,321,4.111111111,A,2,1,2,7
54,30/11/2016 10:28,CAV,321,3.722222222,A,2,1,2,5
90,30/11/2016 13:28,CAV,321,5.888888889,A,2,1,2,10
126,09/12/2016 13:31,CAV,321,2.888888889,A,2,1,2,7
19,29/11/2016 10:13,CVA,123,1,A,3,1,3,6
55,30/11/2016 10:47,CVA,123,2.882352941,A,3,1,3,6
91,30/11/2016 13:37,CVA,123,5.722222222,A,3,1,3,9
127,09/12/2016 12:41,CVA,123,5.944444444,A,3,1,3,10
20,29/11/2016 10:22,CVA,132,2.944444444,A,3,1,2,1
56,30/11/2016 10:28,CVA,132,4.5,A,3,1,2,8
